time_iso8601,forks_cumulative
2024-02-10 00:00:00+00:00,1
2024-02-19 00:00:00+00:00,2
2024-02-20 00:00:00+00:00,4
2024-02-22 00:00:00+00:00,5
2024-02-24 00:00:00+00:00,6
2024-02-25 00:00:00+00:00,8
2024-03-01 00:00:00+00:00,9
2024-03-05 00:00:00+00:00,10
2024-03-11 00:00:00+00:00,11
2024-03-12 00:00:00+00:00,12
2024-03-16 00:00:00+00:00,13
2024-03-30 00:00:00+00:00,14
2024-04-07 00:00:00+00:00,17
2024-05-15 00:00:00+00:00,18
2024-05-23 00:00:00+00:00,19
2024-06-06 00:00:00+00:00,20
2024-06-12 00:00:00+00:00,21
2024-06-13 00:00:00+00:00,22
2024-06-18 00:00:00+00:00,23
2024-07-22 00:00:00+00:00,24
2024-07-28 00:00:00+00:00,25
2024-08-11 00:00:00+00:00,26
2024-08-21 00:00:00+00:00,27
2024-09-12 00:00:00+00:00,28
2024-09-30 00:00:00+00:00,29
2024-10-05 00:00:00+00:00,30
2024-10-20 00:00:00+00:00,31
2024-12-10 00:00:00+00:00,32
2024-12-25 00:00:00+00:00,33
2025-02-22 00:00:00+00:00,34
2025-02-25 00:00:00+00:00,36
2025-02-27 00:00:00+00:00,37
2025-03-06 00:00:00+00:00,38
2025-03-13 00:00:00+00:00,39
2025-03-17 00:00:00+00:00,40
2025-04-17 00:00:00+00:00,41
2025-05-02 00:00:00+00:00,42
2025-06-10 00:00:00+00:00,43
2025-09-09 00:00:00+00:00,44
2025-09-28 00:00:00+00:00,45
